,year,song,artists,rank,artist1,artist2,artist3,artist4,lyrics,genre,lyrics_sentiment,sentiment,artist_type
0,2009,Boom Boom Pow,The Black Eyed Peas,1,The Black Eyed Peas,,,,"will.i.am
Gotta get get
Gotta get get
Gotta get get
Gotta g-g-g-g-g-get get get get get get
Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom
That boom boom boom
That boom boom boom
Boom boom boom

Yo
I got that hit that beat the block
You can get that bass overload
I got that rock and roll
That future flow
That digital spit
Next level visual shit
I got that boom boom boom
How the beat bang
Boom boom boom

Fergie
I like that boom boom pow
Them chickens jackin' my style
They try to copy my swagger
I'm on that next shit now
I'm so Three-Thousand-and-Eight
You so Two-Thousand-and-Late
I got that boom boom boom
That future boom boom boom
Let me get it now

Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom
That boom boom boom
That boom boom boom
Boom boom boom

Taboo
I'm on that supersonic boom
Y'all hear that space shit zoom 
When-when I step inside the room
Them girls go apeshit (uh)
Y'all stuck on super-8 shit
That low-fi stupid 8-bit
I'm on that HD flat
This beat go boom boom bap

apl.de.ap
I'm a beast when you turn me on
Into the future cyber-tron
Harder, faster, better, stronger
Text the ladies extra longer, cuz
We got the beat that bounce
We got the beat that pound
We got the beat that 808 that boom boom in your town

Fergie
People in the place
If you wanna get down
Put your hands in the air
will.i.am drop the beat now

will.i.am
Yup yup

I be rockin' them beats (Yup yup)
I be rockin' them beats (Yup yup-yup yup)
(Huh huh huh)

Here we go
Here we go
Satellite radio
Y'all gettin' hit with the boom boom
Beats so big I'm steppin' on leprechauns
Shittin' on y'all with the boom boom
Shittin' on y'all with the boom boom
Shittin' on y'all with the...

This beat be bumpin' bumpin'
This beat go boom boom

Let the beat rock
L-l-l-l-let the beat rock
Let the beat r...
This beat be bumpin' bumpin'
This beat go boom boom

Fergie
I like that boom boom pow
Them chickens jackin' my style
They try to copy my swagger
I'm on that next shit now
I'm so Three-Thousand-and-Eight
You so Two-Thousand-and-Late
I got that boom boom boom
That future boom boom boom
Let me get it now

Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom (gotta get get)
Boom boom boom
That boom boom boom
That boom boom boom
Boom boom boom

Let the beat rock (Let the beat rock)
Let the beat r-rock (Let the beat...)
Let the beat rock (Let the beat rock...rock...rock...rock)",Pop,-0.07866161616161617,0,Group
1,2009,Poker Face,Lady Gaga,2,Lady Gaga,,,,"I wanna hold 'em like they do in Texas please
Fold 'em, let 'em hit me, raise it, baby stay with me (I love it)
LoveGame intuition, play the cards with spades to start
And after he's been hooked I'll play the one that's on his heart

I'll get him hard, show him what I got
I'll get him hard, show him what I got

Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)

Puh-puh-puh-poker face
Fuh-fuh-fuck her face
Puh-puh-puh-poker face
Fuh-fuh-fuck her face

I wanna roll with him, a hard pair we will be
A little gambling is fun when you're with me (I love it)
Russian roulette is not the same without a gun
And baby when it's love if it's not rough it isn't fun (fun)

I'll get him hard, show him what I got
I'll get him hard, show him what I got

Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)

Puh-puh-puh-poker face
Fuh-fuh-fuck her face
Puh-puh-puh-poker face
Fuh-fuh-fuck her face

I won't tell you that I love you kiss or hug you
'Cause I'm bluffin' with my muffin
I'm not lyin'
I'm just stunnin' with my love glue-gunnin'

Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand 'cause I'm marvelous

Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)

Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)

Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No he can't read my poker face
(She's got me like nobody)

Puh-puh-puh-poker face
Fuh-fuh-fuck her face
Puh-puh-puh-poker face
Fuh-fuh-fuck her face
(She's got me like nobody)
Puh-puh-puh-poker face
Fuh-fuh-fuck her face
Puh-puh-puh-poker face
Fuh-fuh-fuck her face
Puh-puh-puh-poker face
Fuh-fuh-fuck her face
Puh-puh-puh-poker face
Fuh-fuh-fuck her face",Electronic,0.15578703703703703,1,female
2,2009,Just Dance,Lady Gaga / Colby O'Donis,3,Lady Gaga,Colby O'Donis,,,"(Shit!)
Ah, RedOne
Konvict
Gaga, oh-oh, eh

I've had a little bit too much, much (Oh oh oh-oh)
All of the people start to rush (Start to rush by)
How does he twist the dance, can't find my drink, oh man
Where are my keys? I lost my phone, phone (Oh oh oh-oh)

What's goin' on on the floor?
I love this record, baby, but I can't see straight anymore (Whoo!)
Keep it cool, what's the name of this club?
I can't remember but it's alright, a-alright

Just dance, gonna be okay, da dat doo-doo-mmm
Just dance, spin that record, babe, da dat doo-doo-mmm
Just dance, gonna be okay, duh duh duh 
Dance, dance, dance, just, j-j-just dance

Wish I could shut my Playboy mouth (Oh oh oh-oh)
How'd I turn my shirt inside out? (Inside outright)
Control your poison babe, roses have thorns they say
And we're all getting hosed tonight (Oh oh oh-oh)

What's goin' on on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool, what's the name of this club?
I can't remember but it's alright, a-alright (Whoo!)

Just dance, gonna be okay, da dat doo-doo-mmm
Just dance, spin that record babe, da dat doo-doo-mmm
Just dance, gonna be okay, duh duh duh 
Dance, dance, dance just, j-j-just

When I come through on the dance floor checkin' out that catalog (Hey)
Can't believe my eyes, so many women without a flaw (Hey)
And I ain't gonna give it up, steady trying to pick it up like a call (Hey)
I'ma hit it, I'mma hit it and latch onto it until tomorrow, yeah

Shawty, I can see that you got so much energy
The way you're twirlin' up them hips 'round and 'round
And now there's no reason at all why you can't leave here with me
In the meantime, stay and let me watch you break it down and

Dance, gonna be okay (Oh-oh) da dat doo-doo-mmm 
(Oo yeah) Just dance, spin that record, babe, da dat doo-doo-mmm
(Oo yeah) Just dance, gonna be okay, da dat doo-doo-mmm 
(Oo yeah) Just dance, spin that record, babe, da dat doo-doo-mmm
(Oh-oh-oh) Just dance, gonna be okay, duh duh duh (Gonna be okay, yeah)
Dance, dance, dance, just, j-j-just dance (Oh-oh)

Amazing. Music.
Whoo! Let's go!

Half psychotic, sick hypnotic
Got my blueprint, it's symphonic
Half psychotic, sick hypnotic
Got my blueprint electronic

Half psychotic, sick hypnotic
Got my blueprint, it's symphonic
Half psychotic, sick hypnotic
Got my blueprint electronic

Go! Use your muscle, carve it out, work it, hustle
I got it, just stay close enough to get it on
Don't slow! Drive it, clean it, lights out, bleed it
Spend the lasto (I got it) in your pocko (I got it)

Just dance, gonna be okay, da dat doo-doo-mmm
Just dance, spin that record, babe, da dat doo-doo-mmm

Just dance, gonna be okay, da dat doo-doo-mmm (Baby)
Just dance, spin that record, babe, dat da doo-doo-mmm (Baby yeah)
Just dance, gonna be okay, duh duh duh (Spin that record, baby, yeah)
Dance, dance, dance just, j-j-just dance",Electronic,-0.010409318048206937,0,Collab
3,2009,I Gotta Feeling,The Black Eyed Peas,4,The Black Eyed Peas,,,,"I gotta feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

I gotta feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

I gotta feeling, ooohooo
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

I gotta feeling, ooohooo
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night, I gotta feel

Tonight's the night, let's live it up
I got my money, let's spend it up
Go out and smash it like, oh my god
Jump off that sofa, let's get, get off

I know that we'll have a ball
If we get down and go out and just lose it all
I feel stressed out, I wanna let it go
Let's go way out, spaced out and losing all control (ch-ch-ch)

Fill up my cup, mazel tov
Look at her dancing, just take it off
Let's paint the town, we'll shut it down
Let's burn the roof and then we'll do it again

Let's do it, let's do it, let's do it, let's do it
And do it and do it, let's live it up
And do it and do it and do it, do it, do it
Let's do it, let's do it, let's do it

'Cause I gotta feeling, ooohoo
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

'Cause I gotta feeling, ooohoo
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night, I gotta feel

Tonight's the night (Hey!), let's live it up (Let's live it up)
I got my money (Okay!), let's spend it up (Let's spend it up)
Go out and smash (Smash), like, oh my god (Like oh my god)
Jump off that sofa (Come on!), let's get, get off

Fill up my cup (Drink), mazel tov (L'Chaim)
Look at her dancing (Move it, move it)
Just take it off!

Let's paint the town (Paint the town)
We'll shut it down (We'll shut it down)
Let's burn the roof (ooh hoo) and then we'll do it again

Let's do it, let's do it, let's do it, let's do it
And do it and do it, let's live it up
And do it (Do it!), and do it (And do it!), and do it (And), do it (And), do it (And do it!)
Let's do it (Let's do it!), let's do it (Let's do it!), let's do it (Hey!), do it (Hey!), do it (Hey!), do it

Here we come, here we go, we gotta rock (Rock, rock, rock, rock, rock)
Easy come, easy go, now we on top (Top, top, top, top, top)
Feel the shot, body rock, rock it, don't stop (Don't stop, don't stop, don't stop, don't stop)
'Round and 'round, up and down, around the clock (Clock, clock, clock, clock, clock)

Monday, Tuesday, Wednesday and Thursday (Let's do it!)
Friday, Saturday, Saturday to Sunday (Do it!)
Get, get, get, get, get with us, you know what we say, say
Party every day, p-p-p-party every day

And I'm feeling, ooohooo
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night, I gotta feel

I gotta feeling, ooohooo
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

Ooohooo",Pop,0.5190791800927723,1,Group
4,2009,Love Story,Taylor Swift,5,Taylor Swift,,,,"We were both young when I first saw you
I close my eyes and the flashback starts
I'm standing there
On a balcony in summer air

See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""Hello.""
Little did I know

That you were Romeo, you were throwin' pebbles
And my daddy said, ""Stay away from Juliet!""
And I was cryin' on the staircase
Beggin' you, ""Please don't go!"" 
And I said...

""Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say yes.""

So I sneak out to the garden to see you
We keep quiet, 'cause we're dead if they knew
So close your eyes
Escape this town for a little while
Oh, oh

'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet!""
But you were everything to me
I was beggin' you, ""Please don't go!"" 
And I said...

""Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say yes.

Romeo, save me, they try to tell me how to feel
This love is difficult, but it's a real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say yes.""

Oh, oh

But I got tired of waiting
Wonderin' if you were ever coming around
My faith in you was fading
When I met you on the outskirts of town 
And I said...

""Romeo, save me, I've been feeling so alone
I keep waiting for you, but you never come
Is this in my head? I don't know what to think.""
He knelt to the ground and pulled out a ring and said...

""Marry me, Juliet, you'll never have to be alone
I love you, and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say...yes!""

Oh, oh, oh
Oh, oh, oh, oh

'Cause we were both young when I first saw you!",Pop,0.06029829545454546,1,female
5,2009,Right Round,Flo Rida,6,Flo Rida,,,,"You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down

Hey, walk out the house with my swagger
Hop in there with dough, I got places to go
People to see, time is precious
I look at my Cartier, outta control

Just like my mind where I'm goin'
No women, no shawties, no nothin' 'bout clothes
No stoppin' now, my Pirellis on roll
I like my jewelry, that's always on, whoa

I know the storm is comin'
My pockets keep tellin' me it's gonna shower
Call up my homies it's on
Then pop in the night 'cause this mix'll be ours

We keep a fade away shot 'cause we ballin'
It's Platinum Patrón every hour
Lil' mama, oh, you just like the flowers
Girl you the drink with all that goody power

You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down

From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down

From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down

Hey, shawty must know I'm the man
My money love her like a number one fan
Don't open my mouth, let her talk to my fans
My Benjamin Frank-a-lin's

A couple of grands, I got rubber bands
My paper planes makin' her dance
Get dirty all night, that's part of my (plan)
We buildin' castles that's made out of (sand)

She's amazin', fire blazin'
Hotter than cajun, girl won't you move a lil' closer
Time to get paid, it's maximum wage
That body belong on a poster

I'm in a daze, the bottom is wavin' at me
Like ""Damn it, I know ya.""
You wanna shoot like a gun outta holster
Tell me whatever and I'll be your sheaufer

You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down

From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down

From the top of the pole I watch her go down
She got me throwin' my money around
Ain't nothin' more beautiful to be found
It's goin' down down

Yeah, I'm spendin' my money
I'm out of control (hey)
Somebody help me (hey)
She takin' my bank roll

But I'm king of the club
And I'm wearin' the crown
Poppin' these bottles, touchin' these models
Watchin' they asses go down down
Down down down down down down down

You spin my head right round, right round
When you go down, when you go down down
You spin my head right round, right round
When you go down, when you go down down

You spin my head right round, right round (hey)
When you go down, when you go down down (hey)
You spin my head right round, right round (hey)
When you go down, when you go down down",Hip Hop/Rap,0.014775255896751193,1,male
6,2009,I'm Yours,Jason Mraz,7,Jason Mraz,,,,"Well, you done done me and you bet I felt it
I tried to be chill but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back
Before the cool done run out I'll be giving it my bestest
And nothing's gonna stop me but divine intervention
I reckon it's again my turn to win some or learn some

But I won't hesitate no more, no more
It cannot wait, I'm yours

Well, open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find love love, love, love
Listen to the music of the moment, people dance and sing
We're just one big family
And it's our God-forsaken right to be loved, love, love, loved, loved

So I won't hesitate no more, no more
It cannot wait I'm sure
There's no need to complicate
Our time is short
This is our fate, I'm yours

Do you want to, come on
Scooch on over closer dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed

I guess what I'll be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate no more, no more
It cannot wait, I'm yours

Well open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find that the sky is yours
So please don't please don't please don't
There's no need to complicate
'Cause our time is short
This oh this oh this is our fate I'm yours

Oh I'm yours, oh I'm yours, oh
Baby, do believe I'm yours
You best believe, you best believe I'm yours",Pop,0.2542646542646543,1,male
7,2009,Single Ladies (Put A Ring On It),Beyonce,8,Beyonce,,,,"All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (Now put your hands up)

Up in the club (club), we just broke up (up)
I'm doing my own little thing
You decided to dip (dip) and now you wanna trip (trip)
'Cause another brother noticed me

I'm up on him (him), he up on me (me)
Don't pay him any attention
'Cause I cried my tears (tears), gave ya three good years (years)
You can't be mad at me

'Cause if you like it, then you should of put a ring on it
If you like it, then you should of put a ring on it
Don't be mad once you see that he want it
'Cause if you like it, then you should of put a ring on it

Oh-oh-oh, oh-oh-oh, oh-oh
Oh, oh-oh-oh
Whoa-oh-oh, oh-oh-oh, oh
Oh-oh, oh-oh-oh

'Cause if you like it, then you should of put a ring on it
If you like it, then you should of put a ring on it
Don't be mad once you see that he want it
If you like it, then you should of put a ring on it

I got gloss on my lips (lips), a man on my hips (hips)
And we tighter than my Deréon jeans
Actin' up (up), drank in my cup (cup)
I can care less what you think

I need no permission, did I mention
Don't pay him any attention
'Cause you had your turn (turn), and now you gon' learn
What it really feels like to miss B

'Cause if you like it, then you should of put a ring on it
If you like it, then you should of put a ring on it
Don't be mad once you see that he want it
'Cause if you like it, then you should of put a ring on it

Oh-oh-oh, oh-oh-oh, oh-oh
Oh, oh-oh-oh
Whoa-oh-oh, oh-oh-oh, oh
Oh-oh, oh-oh-oh

If you like it, then you should of put a ring on it
If you like it, then you should of put a ring on it
Don't be mad once you see that he want it
If you like it, then you should of put a ring on it

Oh-oh-oh, oh-oh-oh, oh-oh
Oh, oh-oh-oh
Whoa-oh-oh, oh-oh-oh, oh
Oh-oh, oh-oh-oh

Don't treat me to these things of the world
(I'm not that kind of girl)
Your love is what I prefer, what I deserve

Is a man that makes me, then takes me
And delivers me to a destiny, to infinity and beyond
Pull me into your arms, say I'm the one you want
If you don't, you'll be alone
And like a ghost, I'll be gone

All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (Now put your hands up)

Oh-oh-oh, oh-oh-oh, oh-oh
Oh, oh-oh-oh
Whoa-oh-oh, oh-oh-oh, oh
Oh-oh, oh-oh-oh
Whoa-oh-oh

'Cause if you like it, then you should of put a ring on it
If you like it, then you should of put a ring on it
Don't be mad once you see that he want it
If you like it, then you should of put a ring on it
Whoa-oh-oh

'Cause if you like it, then you should of put a ring on it
If you like it, then you should of put a ring on it
Don't be mad once you see that he want it
If you like it, then you should of put a ring on it
Oh-oh-oh",Pop,-0.11175595238095237,0,female
8,2009,Heartless,Kanye West,9,Kanye West,,,,"In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road, he lost his soul
To a woman so heartless, heartless
How could you be so heartless, heartless?
Oh, how could you be so heartless?

How could you be so
Cold as the winter wind when it breeze, yo?
Just remember that you talkin' to me, yo
You need to watch the way you talkin' to me, yo
I mean after all the things that we been through
I mean after all the things we got into
Hey yo, I know of some things that you ain't told me
Ayo, I did some things but that's the old me
And now you wanna get me back and you gon' show me
So you walk around like you don't know me
You got a new friend, well I got homies
But in the end, it's still so lonely

In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road, he lost his soul
To a woman so heartless, heartless
How could you be so heartless, heartless?
Oh, how could you be so heartless?

How could you be so Dr. Evil?
You bringin' out a side of me that I don't know
I decided we weren't gon' speak so
Why we up 3 A.M. on the phone?
Why do she be so mad at me fo'?
Homey I don't know, she's hot and cold
I won't stop, won't mess my groove up
'Cause I already know how this thing go
You run and tell your friends that you're leaving me
They say that they don't see what you see in me
You wait a couple months then you gon' see
You'll never find nobody better than me

In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road, he lost his soul
To a woman so heartless, heartless
How could you be so heartless, heartless?
Oh, how could you be so heartless?

Talkin', talkin', talkin', talk
Baby, let's just knock it off
They don't know what we been through
They don't know 'bout me and you
So I got something new to see
And you just gon' keep hatin' me
And we just gon' be enemies
I know you can't believe
I could just leave it wrong
And you can't make it right
I'm gon' take off tonight, into...

In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road, he lost his soul
To a woman so heartless, heartless
How could you be so heartless, heartless?
Oh, how could you be so heartless?

(Heartless, heartless, heartless, heartless, heartless)
(Heartless, heartless, heartless, oh)",Contemporary R&B,-0.12082792207792208,0,male
9,2009,Gives You Hell,The All-American Rejects,10,The All-American Rejects,,,,"I wake up every evening
With a big smile on my face
And it never feels out of place

And you're still probably workin'
At a 9 to 5 pace
I wonder how bad that tastes

When you see my face hope it gives you hell
Hope it gives you hell
When you walk my way hope it gives you hell
Hope it gives you hell

Now where's your picket fence love?
And where's that shiny car?
It didn't ever get you far

And you never seemed so tense, love
I've never seen you fall so hard
Do you know where you are?

And the truth be told I miss you
And the truth be told I'm lyin'

When you see my face hope it gives you hell
Hope it gives you hell
When you walk my way hope it gives you hell
Hope it gives you hell

If you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well
Hope it gives you hell
I hope it gives you hell

Tommorow you'll be thinking to yourself:
""Where did I go wrong?""
But the list goes on and on

But the truth be told I miss you
And the truth be told I'm lyin'

When you see my face hope it gives you hell
Hope it gives you hell
When you walk my way hope it gives you hell
Hope it gives you hell

When you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well
Hope it gives you hell

Now, you'll never see what you've done to me
You can take back your memories, they're no good to me
And here's all your lies, you can look me in the eyes
With the sad, sad look that you wear so well

(When you see my face hope it gives you hell
Hope it gives you hell
When you walk my way hope it gives you hell
Hope it gives you hell)

(When you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well
Hope it gives you hell)

When you see my face hope it gives you hell
Hope it gives you hell (Hope it gives you hell)
When you walk my way hope it gives you hell
Hope it gives you hell (Hope it gives you hell)

When you hear this song and you sing along
But you never tell (No, never tell)
Then you're the fool, I just as well
Hope it gives you hell (Hope it gives you hell)

When you hear this song I hope that it will give you hell (It will give you hell)
When you sing along, I hope that it puts you through hell",Pop/Rock,-0.054687499999999986,0,Group
